ID,Name,Classification per User,Provider Email,Date of Release,Consoles,Owners,Developers,Genres,Multiplayer Options,Online Features,Platforms,Modes,DLC Availability,Prices in dollars,Metacritic Scores,ESRB Content Ratings,System Requirements,Physical Releases,Awards
147,Starlight Odyssey Odyssey of the Ancients,4,WanderersWhim@hotmail.com,1987-03-04,PlayStation,Tencent Games,Bioware,Adventure,Local Co-op,Live Events,GameCube,Tutorial,Expansion Pack,7.54,37,Early Childhood,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Game of the Year Edition,Best Narrative
148,Elemental Saga Shadows of Destiny,10,WhimsicalWayfarer@gov.com,1980-09-22,Sega Genesis,Rockstar Games,Valve,Action,Competitive Local,In-game Purchases,Nintendo Switch,Time Trial,Paid DLC,10.0,7,Everyone 10+,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Premium Edition,Best Game Design
149,Starlight Odyssey Mythos Ascendant,1,CosmicAdventurer@gov.com,1998-10-29,Sega Genesis,Bethesda Softworks,Insomniac Games,Adventure,Online Multiplayer,Streaming Integration,Wii,Free Play,Paid DLC,9.34,71,Early Childhood,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Anniversary Edition,Most Anticipated
150,Twilight Saga Dreamscape Chronicles,6,EtherealEcho@yahoo.com,2011-04-22,Sega Genesis,Electronic Arts,Infinity Ward,Action,LAN Multiplayer,Online Tournaments,Wii,Time Trial,Season Pass,9.3,85,Everyone,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Enhanced Edition,Best Fighting Game
151,Frozen Journey Legacy of Light,4,EnchantedExplorer@gmail.com,1994-06-01,PlayStation,Ubisoft,343 Industries,Adventure,Competitive Local,User-generated Content,Wii,Tutorial,Free DLC,8.41,7,Teen,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Special Edition,Game of the Year
152,Infernal Adventure Twilight's Embrace,1,OceanWhisperer@hotmail.com,2008-09-26,Nintendo Switch,Rockstar Games,Capcom,Action,Competitive LAN,User-generated Content,Nintendo DS,Offline,Free DLC,6.05,12,Adults Only,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Complete Edition,Best Indie Game
153,Starlight Odyssey Apex of Adventure,5,SereneSafari@yahoo.com,1993-01-19,Sega Genesis,Ubisoft,Bungie,Action,Couch Co-op,Online Chat,Nintendo 64,Tutorial,Planned,10.0,96,Everyone,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Limited Edition,Best Adventure Game
154,Shadow Adventure Dreamscape Chronicles,10,MountainSeeker@outlook.com,1986-01-12,Nintendo Switch,Activision,Bungie,Action,Competitive Online,Matchmaking,GameCube,Practice Mode,Expansion Pack,10.0,50,Mature,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Gold Edition,Best Performance
155,Mythic Adventure Chronicles of Discovery,2,CelestialRoamer@gov.com,1993-04-09,Sega Genesis,Sony Interactive Entertainment,Bethesda Game Studios,Adventure,Couch Co-op,Live Events,GameCube,Offline,Planned,8.11,20,Adults Only,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Limited Edition,Best Racing Game
156,Mystic Quest Realm of Dreams,3,WhimsicalWayfarer@yahoo.com,2014-11-07,PlayStation,THQ Nordic,Blizzard Entertainment,Adventure,LAN Multiplayer,Cloud Saves,Nintendo 64,Practice Mode,Free DLC,10.0,84,Adults Only,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Gold Edition,Best Strategy Game
157,Phantom Saga Epoch of Legends,5,WanderersWhisper@gov.com,1995-05-14,Nintendo Switch,Tencent Games,Ubisoft Montreal,Adventure,Competitive Online,In-game Purchases,Wii,Campaign,Season Pass,5.49,86,Everyone 10+,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Game of the Year Edition,Most Anticipated
158,Cyber Quest Echoes of Eternity,4,WandererInWhispers@yahoo.com,1992-04-05,Nintendo Switch,Epic Games,Valve,Action,LAN Multiplayer,Online Events,Nintendo DS,Competitive,Expansion Pack,8.28,65,Early Childhood,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Collector's Edition,Game of the Year
159,Lunar Chronicles Legacy of Light,1,CelestialRoamer@hotmail.com,2010-08-16,GameCube,Nintendo,Kojima Productions,Adventure,Cross-platform Multiplayer,Matchmaking,Nintendo 3DS,Single Player,Free DLC,6.6,32,Everyone,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Signature Edition,Best Game Design
160,Neon Quest Infinity's Echo,8,TranquilTrekker@yahoo.com,1992-08-21,Nintendo Switch,THQ Nordic,Bioware,Adventure,Split Screen,Streaming Integration,Wii U,Competitive,Season Pass,10.0,80,Everyone,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Enhanced Edition,Best Indie Game
161,Elemental Saga Dreamscape Chronicles,3,WanderersWhim@outlook.com,2003-05-06,PlayStation,Nintendo,Epic Games,Adventure,Local Multiplayer,Social Media Integration,Nintendo Switch,Single Player,Free DLC,10.0,78,Mature,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Gold Edition,Best Sports Game
162,Lunar Chronicles Heroes Reborn,7,EnchantedEclipse@gmail.com,2003-04-19,Sega Genesis,Bandai Namco Entertainment,Bethesda Game Studios,Action,Split Screen,In-game Purchases,Nintendo DS,Survival,Paid DLC,10.0,37,Mature,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Complete Edition,Best Strategy Game
163,Eternal Legend Epoch of Legends,3,DreamingDrifter@outlook.com,2022-04-02,PlayStation,Activision,Bioware,Action,Local Multiplayer,Online Events,Wii U,Free Play,Paid DLC,10.0,72,Early Childhood,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Complete Edition,Best Narrative
164,Twilight Saga Horizon's Edge,7,SereneNomad@hotmail.com,1995-05-16,Nintendo Switch,Capcom,Bungie,Adventure,Online Co-op,Season Pass,Game Boy Advance,Online,Free DLC,5.0,46,Mature,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Definitive Edition,Most Anticipated
165,Dragon Saga Twilight's Embrace,1,NatureNurturer@hotmail.com,2002-08-02,GameCube,Sony Interactive Entertainment,Rockstar North,Adventure,Local Co-op,Online Challenges,Game Boy Advance,Offline,Available,5.0,40,Everyone,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Enhanced Edition,Best Racing Game
166,Cyber Quest Elysium's Embrace,5,EnchantedEclipse@gmail.com,2023-06-26,PlayStation,CD Projekt,Naughty Dog,Adventure,LAN Co-op,Season Pass,Nintendo DS,Story Mode,Season Pass,7.8,97,Early Childhood,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Day One Edition,Best Action Game
167,Cosmic Journey Phoenix Reborn,2,DreamingDrifter@gov.com,2015-02-27,Nintendo 64,Konami,Square Enix,Action,Couch Co-op,Online Challenges,Game Boy Advance,Survival,Available,9.82,80,Mature,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Anniversary Edition,Best Multiplayer Game
168,Forgotten Legends Celestial Rhapsody,6,VelvetVoyager@gov.com,2007-08-29,Nintendo 64,Tencent Games,Rockstar North,Adventure,LAN Co-op,Season Pass,Nintendo 3DS,Custom Mode,Expansion Pack,5.73,60,Everyone,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Special Edition,Best Sports Game
169,Eternal Legend Apex of Adventure,9,EnchantedExplorer@hotmail.com,2012-03-03,GameCube,CD Projekt,343 Industries,Adventure,Local Co-op,Streaming Integration,GameCube,Multiplayer,Expansion Pack,10.0,23,Everyone 10+,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Definitive Edition,Best Visuals
170,Forgotten Legends Dreamscape Chronicles,1,EnchantedEclipse@yahoo.com,2013-12-23,Nintendo 64,Sony Interactive Entertainment,Nintendo EAD,Adventure,Couch Multiplayer,Online Challenges,Wii U,Online,Expansion Pack,10.0,96,Teen,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Standard Edition,Best Adventure Game
171,Dragon Saga Origins Revealed,10,WildflowerChild@gmail.com,1984-01-23,Nintendo 64,Activision,Bethesda Game Studios,Adventure,Couch Co-op,Cross-platform Play,GameCube,Offline,Planned,10.0,70,Teen,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Anniversary Edition,Best Visuals
172,Forgotten Legends Echoes of Eternity,3,NatureNurturer@outlook.com,2004-09-11,Nintendo 64,Valve,Nintendo EAD,Action,Competitive LAN,Online Leaderboards,Wii,Free Play,Available,6.32,64,Adults Only,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Steelbook Edition,Best RPG
173,Lunar Chronicles Elysium's Embrace,3,WandererInWhispers@hotmail.com,1992-06-21,Nintendo Switch,Sony Interactive Entertainment,Blizzard Entertainment,Adventure,Local Multiplayer,User-generated Content,Wii U,Campaign,Free DLC,5.0,29,Everyone,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Special Edition,Best Direction
174,Emerald Legends Celestial Rhapsody,4,WandererWithin@outlook.com,2018-09-11,GameCube,Valve,Respawn Entertainment,Action,LAN Co-op,Matchmaking,Nintendo DS,Story Mode,Not Available,10.0,47,Mature,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Signature Edition,Best Innovation
175,Celestial Adventure Celestial Rhapsody,5,SpiritSeeker@outlook.com,2022-09-29,Nintendo 64,Tencent Games,Guerrilla Games,Adventure,Couch Multiplayer,Voice Chat,GameCube,Cooperative,Not Available,9.76,7,Everyone,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Signature Edition,Best Strategy Game
176,Abyssal Journey Enigma Unleashed,5,WanderersWhisper@yahoo.com,2008-10-07,PlayStation,Ubisoft,Infinity Ward,Action,Split Screen,Matchmaking,Wii,Tutorial,Expansion Pack,9.56,71,Everyone,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Complete Edition,Game of the Year
177,Celestial Adventure Shadows of Destiny,1,WanderersWhim@gmail.com,1998-04-28,GameCube,Bandai Namco Entertainment,Gearbox Software,Action,Online Multiplayer,Streaming Integration,Nintendo 64,Challenge Mode,Planned,5.7,47,Everyone 10+,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Signature Edition,Best RPG
178,Starlight Odyssey Infinity's Echo,7,StellarAdventurer@gmail.com,2000-09-12,Nintendo 64,Bethesda Softworks,Square Enix,Action,Competitive Online,User-generated Content,Nintendo Switch,Competitive,Free DLC,10.0,77,Everyone 10+,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Collector's Edition,Best Direction
179,Neon Quest Legacy of Light,9,WanderersWhisper@hotmail.com,2021-03-07,Nintendo Switch,Bandai Namco Entertainment,Guerrilla Games,Adventure,Competitive Local,Downloadable Content (DLC),Nintendo Switch,Online,Available,10.0,27,Everyone 10+,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Game of the Year Edition,Best Action Game
180,Abyssal Journey Chronicles of Discovery,5,EnchantedEclipse@gmail.com,1995-11-23,PlayStation,Epic Games,Infinity Ward,Adventure,Competitive Local,Social Media Integration,Nintendo 3DS,Practice Mode,Season Pass,6.32,14,Adults Only,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Signature Edition,Best Fighting Game
181,Phantom Saga Odyssey of the Ancients,5,BlossomTrailblazer@hotmail.com,2004-05-27,GameCube,Microsoft Studios,Nintendo EAD,Adventure,Competitive Local,Matchmaking,Game Boy Advance,Competitive,Planned,5.45,96,Teen,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Day One Edition,Best Fighting Game
182,Celestial Adventure Infinity's Reach,8,SkyboundTraveler@gmail.com,2002-09-04,PlayStation,Take-Two Interactive,Capcom,Adventure,LAN Co-op,User-generated Content,Game Boy Advance,Cooperative,Free DLC,10.0,27,Everyone 10+,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Steelbook Edition,Best Game Design
183,Eternal Legend Heroes Reborn,5,TranquilTrekker@yahoo.com,2005-01-31,Nintendo 64,Valve,Rockstar North,Action,Online Co-op,Streaming Integration,Nintendo 64,Cooperative,Free DLC,6.52,38,Mature,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Ultimate Edition,Game of the Year
184,Eternal Legend Dreamscape Chronicles,6,WanderersWhisper@outlook.com,1986-07-12,PlayStation,Ubisoft,Guerrilla Games,Adventure,Cross-platform Multiplayer,Voice Chat,Nintendo 64,Challenge Mode,Not Available,5.0,76,Early Childhood,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Platinum Hits,Best Sports Game
185,Dragon Saga Infinity's Echo,8,WhimsicalWanderer@outlook.com,2011-08-20,PlayStation,Microsoft Studios,Ubisoft Montreal,Adventure,Competitive Local,Cloud Saves,Nintendo DS,Challenge Mode,Expansion Pack,10.0,66,Adults Only,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Limited Edition,Best Multiplayer Game
186,Galactic Odyssey Origins Revealed,5,DreamingDrifter@yahoo.com,2006-06-19,GameCube,Rockstar Games,Naughty Dog,Adventure,LAN Co-op,Live Events,Nintendo 3DS,Custom Mode,Free DLC,7.71,84,Adults Only,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Platinum Hits,Game of the Year
187,Neon Quest Celestial Rhapsody,6,TranquilTrekker@outlook.com,2019-11-26,PlayStation,Tencent Games,Bungie,Adventure,LAN Multiplayer,Online Leaderboards,Game Boy Advance,Custom Mode,Available,7.71,70,Adults Only,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Ultimate Edition,Best RPG
188,Forgotten Legends Legacy of Light,9,StellarAdventurer@hotmail.com,2016-11-20,GameCube,CD Projekt,Respawn Entertainment,Action,Split Screen,In-game Purchases,Wii U,Tutorial,Planned,6.12,73,Everyone 10+,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Steelbook Edition,Most Anticipated
189,Dreamy Odyssey Horizon's Edge,8,ForestExplorer@outlook.com,1981-06-16,Sega Genesis,Sony Interactive Entertainment,Ubisoft Montreal,Action,Local Co-op,Online Tournaments,Nintendo DS,Single Player,Expansion Pack,10.0,86,Everyone 10+,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Enhanced Edition,Best Soundtrack
190,Forgotten Legends Heroes Reborn,7,SereneSafari@yahoo.com,2001-09-18,Sega Genesis,Nintendo,Epic Games,Action,Couch Co-op,Live Events,Nintendo 64,Tutorial,Paid DLC,10.0,19,Everyone 10+,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Collector's Edition,Most Anticipated
191,Twilight Saga Celestial Rhapsody,2,SereneSafari@gov.com,2015-12-22,PlayStation,Bethesda Softworks,Gearbox Software,Action,Cross-platform Multiplayer,Online Challenges,Wii U,Campaign,Not Available,10.0,19,Mature,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Platinum Hits,Best Sports Game
192,Elemental Saga Celestial Rhapsody,5,EchoingExplorer@gov.com,1994-01-28,Sega Genesis,THQ Nordic,Naughty Dog,Action,Local Multiplayer,Online Chat,Wii,Story Mode,Paid DLC,5.06,8,Mature,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Game of the Year Edition,Best Visuals
193,Ancient Chronicles Elysium's Embrace,8,WanderersWhim@yahoo.com,2010-04-27,PlayStation,Valve,Infinity Ward,Action,Competitive Online,Server Browser,Nintendo 64,Cooperative,Planned,7.49,91,Everyone,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Collector's Edition,Best Performance
194,Neon Quest Twilight's Embrace,3,WanderersWhisper@yahoo.com,2015-12-01,Sega Genesis,Konami,Insomniac Games,Action,Local Co-op,Matchmaking,Nintendo 3DS,Campaign,Season Pass,7.4,50,Everyone 10+,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Day One Edition,Best Narrative
195,Galactic Odyssey Echoes of Eternity,6,CelestialRoamer@outlook.com,2011-09-30,GameCube,Sega,Valve,Adventure,Local Multiplayer,User-generated Content,Nintendo DS,Competitive,Free DLC,6.52,7,Mature,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Special Edition,Best Indie Game
196,Emerald Legends Enigma Unleashed,8,DreamyDrifter@yahoo.com,1996-11-02,PlayStation,Bandai Namco Entertainment,Rockstar North,Adventure,Competitive LAN,Cross-platform Play,GameCube,Practice Mode,Free DLC,5.98,57,Everyone 10+,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Special Edition,Best Action Game
197,Frozen Journey Echoes of Eternity,6,VoyageVirtuoso@yahoo.com,1986-10-23,Sega Genesis,Warner Bros. Interactive Entertainment,Guerrilla Games,Action,Couch Multiplayer,Live Events,Nintendo DS,Cooperative,Free DLC,10.0,86,Mature,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Limited Edition,Best Innovation
198,Cyber Quest Celestial Rhapsody,3,WhimsicalWanderer@hotmail.com,1988-10-26,PlayStation,Nintendo,Kojima Productions,Action,Couch Multiplayer,Live Events,Nintendo 3DS,Practice Mode,Planned,8.4,5,Mature,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Enhanced Edition,Best RPG
199,Solar Odyssey Odyssey's End,3,BlossomTrailblazer@gmail.com,1995-07-27,Sega Genesis,Tencent Games,Bioware,Adventure,Couch Multiplayer,In-game Purchases,GameCube,Custom Mode,Available,6.2,37,Adults Only,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Limited Edition,Best Sports Game
200,Frozen Journey Elysium's Embrace,7,EnchantedExplorer@outlook.com,1985-03-07,PlayStation,Sega,Gearbox Software,Action,Couch Co-op,Online Events,Wii U,Free Play,Planned,10.0,56,Early Childhood,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Enhanced Edition,Best Sports Game
201,Elemental Saga Enigma Unleashed,2,DreamingDrifter@gov.com,1990-01-22,Nintendo 64,Nintendo,343 Industries,Adventure,Couch Co-op,Online Events,Nintendo 3DS,Free Play,Planned,10.0,53,Teen,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Platinum Hits,Best Game Design
202,Infernal Adventure Origins Revealed,2,AdventureEnthusiast@hotmail.com,2014-09-27,Nintendo 64,Microsoft Studios,Guerrilla Games,Adventure,Competitive Local,Online Challenges,Nintendo DS,Multiplayer,Planned,5.0,92,Early Childhood,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Steelbook Edition,Best Indie Game
203,Frozen Journey Infinity's Reach,4,TranquilTrekker@gov.com,1995-03-16,GameCube,Square Enix,Gearbox Software,Action,Competitive LAN,Downloadable Content (DLC),Nintendo 64,Tutorial,Expansion Pack,7.41,68,Adults Only,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Gold Edition,Best RPG
204,Enchanted Quest Legacy of Light,5,WhisperingWayfarer@outlook.com,2016-02-14,Sega Genesis,Electronic Arts,Ubisoft Montreal,Adventure,Local Multiplayer,Voice Chat,Nintendo 3DS,Survival,Season Pass,7.65,21,Teen,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Enhanced Edition,Best Racing Game
205,Frozen Journey Epoch of Legends,5,EtherealExplorer@gov.com,2001-08-24,Nintendo Switch,Square Enix,Square Enix,Action,Split Screen,Server Browser,Nintendo 64,Practice Mode,Free DLC,10.0,38,Teen,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Complete Edition,Most Anticipated
206,Starlight Odyssey Celestial Rhapsody,2,DreamingDrifter@yahoo.com,2006-10-02,Nintendo Switch,Epic Games,Square Enix,Action,LAN Co-op,Online Chat,Nintendo DS,Cooperative,Not Available,8.98,88,Everyone,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Complete Edition,Best Game Design
207,Neon Quest Infinity's Reach,2,WanderersWhim@gov.com,1994-10-25,Nintendo 64,Konami,Gearbox Software,Action,Cross-platform Multiplayer,Streaming Integration,Wii U,Competitive,Paid DLC,5.0,42,Everyone 10+,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Complete Edition,Best RPG
208,Enchanted Quest Shadows of Destiny,7,TranquilTrekker@yahoo.com,1996-11-25,Sega Genesis,Sony Interactive Entertainment,CD Projekt Red,Adventure,Competitive Local,Cross-platform Play,Wii U,Survival,Season Pass,5.0,11,Adults Only,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Collector's Edition,Best Narrative
209,Dragon Saga Echoes of Eternity,2,WanderlustDream@outlook.com,1993-06-25,Sega Genesis,Activision,343 Industries,Adventure,Local Multiplayer,Cloud Saves,Nintendo 64,Survival,Planned,7.71,33,Adults Only,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Day One Edition,Best Sports Game
210,Celestial Adventure Apex of Adventure,9,WanderlustWisp@outlook.com,1989-11-18,Nintendo 64,Activision,Naughty Dog,Action,Couch Co-op,User-generated Content,Wii,Campaign,Free DLC,5.0,12,Everyone 10+,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Day One Edition,Best Racing Game
211,Mythic Adventure Beyond the Horizon,5,SunflowerDreamer@gov.com,1991-10-11,Nintendo 64,Bandai Namco Entertainment,Guerrilla Games,Adventure,Online Multiplayer,Server Browser,Nintendo 3DS,Competitive,Free DLC,5.05,47,Mature,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Limited Edition,Best Multiplayer Game
212,Solar Odyssey Echoes of Eternity,3,WanderlustWanderer@gmail.com,2007-11-26,Sega Genesis,Valve,Bethesda Game Studios,Action,Couch Multiplayer,Server Browser,Wii,Offline,Planned,10.0,39,Early Childhood,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Premium Edition,Game of the Year
213,Galactic Odyssey Beyond the Horizon,2,WildflowerChild@gmail.com,2016-12-31,PlayStation,Take-Two Interactive,343 Industries,Action,LAN Multiplayer,Online Challenges,Nintendo DS,Offline,Expansion Pack,7.79,61,Adults Only,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Game of the Year Edition,Best Sports Game
214,Phantom Saga Heroes Reborn,5,AdventureEnthusiast@gov.com,1981-02-07,Nintendo 64,Tencent Games,Respawn Entertainment,Adventure,Competitive Online,Voice Chat,Nintendo 64,Tutorial,Expansion Pack,5.67,38,Early Childhood,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Ultimate Edition,Best Racing Game
215,Frozen Journey Enigma Unleashed,9,WanderersWhim@gmail.com,1993-01-24,Nintendo Switch,Microsoft Studios,Gearbox Software,Action,Cross-platform Multiplayer,Online Challenges,Nintendo 64,Story Mode,Not Available,10.0,86,Everyone,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Premium Edition,Best Direction
216,Cyber Quest Legends Unbound,9,WanderersWhisper@gmail.com,2020-08-16,Nintendo 64,Square Enix,Blizzard Entertainment,Adventure,LAN Multiplayer,Cross-platform Play,Wii U,Practice Mode,Expansion Pack,8.39,65,Everyone 10+,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Collector's Edition,Best Multiplayer Game
217,Dreamy Odyssey Infinity's Echo,2,EternalExplorer@gmail.com,2018-05-30,PlayStation,Sega,Kojima Productions,Adventure,Split Screen,Matchmaking,Wii U,Tutorial,Season Pass,10.0,28,Adults Only,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Definitive Edition,Best Strategy Game
218,Eternal Legend Legacy of Light,3,EchoingExplorer@hotmail.com,2011-08-15,Nintendo Switch,Konami,Nintendo EAD,Action,Competitive LAN,User-generated Content,Nintendo 3DS,Free Play,Season Pass,8.77,57,Mature,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Collector's Edition,Best Performance
219,Enchanted Quest Enigma Unleashed,10,DreamyVoyager@yahoo.com,2019-10-22,Sega Genesis,Rockstar Games,Blizzard Entertainment,Action,Competitive LAN,Matchmaking,GameCube,Custom Mode,Season Pass,5.0,67,Early Childhood,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Special Edition,Best Performance
